Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kanton;E;N;Sprache;Validity;Bezirks-nummer;Bezirksname;Einwohner;Einwohnerdichte;Fahrraddiebstahl_pro1000Einwohner
Wil SG;9500;0;Zuzwil (SG);3426;SG;9.073298914;47.4670991;de;01.07.2008;1728;Wil;79158;545;3.04
Hosenruck;9515;0;Zuzwil (SG);3426;SG;9.11622888;47.4796451;de;01.07.2008;1728;Wil;79158;545;3.04
Zueberwangen;9523;0;Zuzwil (SG);3426;SG;9.092653045;47.46567434;de;01.07.2008;1728;Wil;79158;545;3.04
Zuzwil SG;9524;0;Zuzwil (SG);3426;SG;9.110633085;47.47446979;de;01.07.2008;1728;Wil;79158;545;3.04
Wil SG;9500;0;Wil (SG);3427;SG;9.049559841;47.46317859;de;01.07.2008;1728;Wil;79158;545;3.04
Rossrueti;9512;0;Wil (SG);3427;SG;9.072163351;47.48178328;de;01.07.2008;1728;Wil;79158;545;3.04
Wuppenau;9514;0;Wil (SG);3427;SG;9.088111893;47.48424219;de;01.07.2008;1728;Wil;79158;545;3.04
Zuzwil SG;9524;0;Wil (SG);3427;SG;9.095863591;47.48028154;de;01.07.2008;1728;Wil;79158;545;3.04
Schwarzenbach SG;9536;0;Wil (SG);3427;SG;9.062878383;47.44693652;de;01.07.2008;1728;Wil;79158;545;3.04
St. Margarethen TG;9543;0;Wil (SG);3427;SG;9.008305958;47.48278668;de;01.07.2008;1728;Wil;79158;545;3.04
Bronschhofen;9552;0;Wil (SG);3427;SG;9.029853008;47.48038909;de;01.07.2008;1728;Wil;79158;545;3.04
Andwil SG;9204;0;Andwil (SG);3441;SG;9.279697298;47.43857542;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Arnegg;9212;0;Andwil (SG);3441;SG;9.262548639;47.44513918;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Abtwil SG;9030;0;Gaiserwald;3442;SG;9.314609846;47.4273699;de;01.07.2008;1721;St. Gallen;126137;800;2.78
St. Josefen;9030;3;Gaiserwald;3442;SG;9.337259688;47.42542928;de;31.05.2010;1721;St. Gallen;126137;800;2.78
Engelburg;9032;0;Gaiserwald;3442;SG;9.334762246;47.44109941;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Wittenbach;9300;0;Gaiserwald;3442;SG;9.361864085;47.45138559;de;01.07.2008;1721;St. Gallen;126137;800;2.78
St. Gallen;9015;0;Gossau (SG);3443;SG;9.28908816;47.40523335;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Abtwil SG;9030;0;Gossau (SG);3443;SG;9.29567644;47.42724575;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Herisau;9100;0;Gossau (SG);3443;SG;9.290830769;47.39998429;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Gossau SG;9200;0;Gossau (SG);3443;SG;9.257106936;47.42032857;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Andwil SG;9204;0;Gossau (SG);3443;SG;9.270570696;47.42858204;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Arnegg;9212;0;Gossau (SG);3443;SG;9.25232581;47.44082995;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Engelburg;9032;0;Waldkirch;3444;SG;9.32498285;47.45307392;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Andwil SG;9204;0;Waldkirch;3444;SG;9.270610026;47.45061695;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Waldkirch;9205;0;Waldkirch;3444;SG;9.281959154;47.46085155;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Hauptwil;9213;0;Waldkirch;3444;SG;9.241576938;47.47687739;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Niederbueren;9246;0;Waldkirch;3444;SG;9.237659181;47.47404131;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Wittenbach;9300;0;Waldkirch;3444;SG;9.357650571;47.45490985;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Bernhardzell;9304;0;Waldkirch;3444;SG;9.343738012;47.46825233;de;01.07.2008;1721;St. Gallen;126137;800;2.78
Parpan;7076;0;Vaz/Obervaz;3506;GR;9.553517871;46.76027957;de;01.07.2008;1841;Albula;8117;11.9;1.49
Valbella;7077;0;Vaz/Obervaz;3506;GR;9.550724056;46.75344192;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Lenzerheide/Lai;7078;0;Vaz/Obervaz;3506;GR;9.545371751;46.73460947;multiple;01.07.2008;1841;Albula;8117;11.9;1.49
Vaz/Obervaz;7082;0;Vaz/Obervaz;3506;GR;9.534429401;46.69890101;multiple;01.07.2008;1841;Albula;8117;11.9;1.49
Tiefencastel;7450;0;Vaz/Obervaz;3506;GR;9.518160654;46.68004377;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Lantsch/Lenz;7083;0;Lantsch/Lenz;3513;GR;9.577156283;46.69981078;multiple;01.07.2008;1841;Albula;8117;11.9;1.49
Schmitten (Albula);7493;0;Schmitten (GR);3514;GR;9.67811875;46.70158056;de;01.07.2008;1841;Albula;8117;11.9;1.49
Brienz/Brinzauls GR;7084;0;Albula/Alvra;3542;GR;9.599114352;46.68688997;multiple;01.07.2008;1841;Albula;8117;11.9;1.49
Tiefencastel;7450;0;Albula/Alvra;3542;GR;9.596554099;46.64378647;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Alvaschein;7451;0;Albula/Alvra;3542;GR;9.547913183;46.67836029;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Mon;7458;0;Albula/Alvra;3542;GR;9.548557364;46.64812382;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Stierva;7459;0;Albula/Alvra;3542;GR;9.522131539;46.66221872;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Surava;7472;0;Albula/Alvra;3542;GR;9.617245191;46.65829377;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Alvaneu Bad;7473;0;Albula/Alvra;3542;GR;9.6391744;46.66824002;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Alvaneu Dorf;7492;0;Albula/Alvra;3542;GR;9.648981878;46.71243177;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Cunter;7452;0;Surses;3543;GR;9.605779102;46.62350853;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Tinizong;7453;0;Surses;3543;GR;9.657077512;46.58958988;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Rona;7454;0;Surses;3543;GR;9.640388964;46.55431717;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Mulegns;7455;0;Surses;3543;GR;9.576494455;46.50030127;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Sur;7456;0;Surses;3543;GR;9.661894963;46.52958362;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Marmorera;7456;2;Surses;3543;GR;9.669697858;46.50325641;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Bivio;7457;0;Surses;3543;GR;9.655848327;46.45826045;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Savognin;7460;0;Surses;3543;GR;9.588951914;46.57839362;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Salouf;7462;0;Surses;3543;GR;9.542726744;46.62538335;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Riom;7463;0;Surses;3543;GR;9.593050778;46.63328907;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Riom;7463;0;Surses;3543;GR;9.583134669;46.60444527;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Parsonz;7464;0;Surses;3543;GR;9.537590797;46.55600143;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Filisur;7477;0;Berguen Filisur;3544;GR;9.697851211;46.64468866;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Berguen/Bravuogn;7482;0;Berguen Filisur;3544;GR;9.820953081;46.6436752;multiple;01.07.2008;1841;Albula;8117;11.9;1.49
Preda;7482;1;Berguen Filisur;3544;GR;9.767358116;46.57995993;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Stugl/Stuls;7482;2;Berguen Filisur;3544;GR;9.746554973;46.65886785;multiple;01.07.2008;1841;Albula;8117;11.9;1.49
Latsch;7484;0;Berguen Filisur;3544;GR;9.754509954;46.64065012;rm;01.07.2008;1841;Albula;8117;11.9;1.49
Davos Wiesen;7494;0;Berguen Filisur;3544;GR;9.723536027;46.69417009;de;01.01.2011;1841;Albula;8117;11.9;1.49
Brusio;7743;0;Brusio;3551;GR;10.12161855;46.27298676;it;01.07.2008;1842;Bernina;4630;19.5;X
Miralago;7743;2;Brusio;3551;GR;10.10191398;46.27309834;it;01.07.2008;1842;Bernina;4630;19.5;X
Campocologno;7744;0;Brusio;3551;GR;10.14262972;46.23596434;it;01.07.2008;1842;Bernina;4630;19.5;X
Viano;7747;0;Brusio;3551;GR;10.15381031;46.2627508;it;01.07.2008;1842;Bernina;4630;19.5;X
Campascio;7748;0;Brusio;3551;GR;10.09470783;46.23739118;it;01.07.2008;1842;Bernina;4630;19.5;X
Ospizio Bernina;7710;0;Poschiavo;3561;GR;10.01726814;46.38543978;it;01.07.2008;1842;Bernina;4630;19.5;X
Alp Gruem;7710;2;Poschiavo;3561;GR;10.0328574;46.37476588;it;01.07.2008;1842;Bernina;4630;19.5;X
S. Carlo (Poschiavo);7741;0;Poschiavo;3561;GR;10.09009261;46.35978004;it;01.07.2008;1842;Bernina;4630;19.5;X
Poschiavo;7742;0;Poschiavo;3561;GR;10.02531445;46.34260798;it;01.07.2008;1842;Bernina;4630;19.5;X
Sfazù;7742;2;Poschiavo;3561;GR;10.11672348;46.39849905;it;01.07.2008;1842;Bernina;4630;19.5;X
La Roesa;7742;3;Poschiavo;3561;GR;10.07687422;46.40963415;it;01.07.2008;1842;Bernina;4630;19.5;X
Miralago;7743;2;Poschiavo;3561;GR;10.1008368;46.27307123;it;01.07.2008;1842;Bernina;4630;19.5;X
Li Curt;7745;0;Poschiavo;3561;GR;10.0263009;46.29554498;it;01.07.2008;1842;Bernina;4630;19.5;X
Le Prese;7746;0;Poschiavo;3561;GR;10.06947093;46.28536042;it;01.07.2008;1842;Bernina;4630;19.5;X
Laax GR 2;7032;0;Falera;3572;GR;9.192556069;46.84636088;rm;01.07.2008;1850;Surselva;21804;15.9;X
Falera;7153;0;Falera;3572;GR;9.221364426;46.81321191;rm;01.07.2008;1850;Surselva;21804;15.9;X
Laax GR;7031;0;Laax;3575;GR;9.264910933;46.80888795;rm;01.07.2008;1850;Surselva;21804;15.9;X
Laax GR 2;7032;0;Laax;3575;GR;9.211462093;46.85978634;rm;01.07.2008;1850;Surselva;21804;15.9;X
Sagogn;7152;0;Sagogn;3581;GR;9.280982208;46.79868189;rm;01.07.2008;1850;Surselva;21804;15.9;X
Schluein;7151;0;Schluein;3582;GR;9.227530528;46.79262093;rm;01.07.2008;1850;Surselva;21804;15.9;X
St. Martin (Lugnez);7116;2;Vals;3603;GR;9.198188525;46.65971369;de;01.07.2008;1850;Surselva;21804;15.9;X
Vals;7132;0;Vals;3603;GR;9.130033854;46.57572505;de;01.07.2008;1850;Surselva;21804;15.9;X
Peiden;7110;0;Lumnezia;3618;GR;9.19404404;46.71658572;rm;01.07.2008;1850;Surselva;21804;15.9;X
Camuns;7113;0;Lumnezia;3618;GR;9.217252536;46.6972727;rm;01.07.2008;1850;Surselva;21804;15.9;X
Uors (Lumnezia);7114;0;Lumnezia;3618;GR;9.188965633;46.70347893;rm;01.07.2008;1850;Surselva;21804;15.9;X
Surcasti;7115;0;Lumnezia;3618;GR;9.168200789;46.68027723;rm;01.07.2008;1850;Surselva;21804;15.9;X
Tersnaus;7116;0;Lumnezia;3618;GR;9.191800148;46.68804478;rm;01.07.2008;1850;Surselva;21804;15.9;X
Cumbel;7142;0;Lumnezia;3618;GR;9.200232843;46.73528968;rm;01.07.2008;1850;Surselva;21804;15.9;X
Morissen;7143;0;Lumnezia;3618;GR;9.171731881;46.73417082;rm;01.07.2008;1850;Surselva;21804;15.9;X
Vella;7144;0;Lumnezia;3618;GR;9.155924589;46.72114095;rm;01.07.2008;1850;Surselva;21804;15.9;X
Degen;7145;0;Lumnezia;3618;GR;9.171467513;46.7055435;rm;01.07.2008;1850;Surselva;21804;15.9;X
Vattiz;7146;0;Lumnezia;3618;GR;9.138514833;46.71375111;rm;01.07.2008;1850;Surselva;21804;15.9;X
Vignogn;7147;0;Lumnezia;3618;GR;9.13497812;46.70054203;rm;01.07.2008;1850;Surselva;21804;15.9;X
Lumbrein;7148;0;Lumnezia;3618;GR;9.129991007;46.66201826;rm;01.07.2008;1850;Surselva;21804;15.9;X
Vrin;7149;0;Lumnezia;3618;GR;9.040932352;46.62341562;rm;01.07.2008;1850;Surselva;21804;15.9;X
Pitasch;7111;0;Ilanz/Glion;3619;GR;9.242056632;46.72284281;rm;01.07.2008;1850;Surselva;21804;15.9;X
Duvin;7112;0;Ilanz/Glion;3619;GR;9.2562199;46.69227793;rm;01.07.2008;1850;Surselva;21804;15.9;X
Valendas;7122;0;Ilanz/Glion;3619;GR;9.259285182;46.7799025;de;01.07.2008;1850;Surselva;21804;15.9;X
Castrisch;7126;0;Ilanz/Glion;3619;GR;9.237198146;46.77235045;rm;01.07.2008;1850;Surselva;21804;15.9;X
Sevgein;7127;0;Ilanz/Glion;3619;GR;9.227020725;46.75927843;rm;01.07.2008;1850;Surselva;21804;15.9;X
Riein;7128;0;Ilanz/Glion;3619;GR;9.2575544;46.74229768;rm;01.07.2008;1850;Surselva;21804;15.9;X
Ilanz;7130;0;Ilanz/Glion;3619;GR;9.199439713;46.76560246;rm;01.07.2008;1850;Surselva;21804;15.9;X
Schnaus;7130;2;Ilanz/Glion;3619;GR;9.1812215;46.82251981;rm;01.07.2008;1850;Surselva;21804;15.9;X
Schnaus;7130;2;Ilanz/Glion;3619;GR;9.179865266;46.77700481;rm;01.07.2008;1850;Surselva;21804;15.9;X
Luven;7141;0;Ilanz/Glion;3619;GR;9.18913378;46.75517793;rm;01.07.2008;1850;Surselva;21804;15.9;X
Ruschein;7154;0;Ilanz/Glion;3619;GR;9.17532025;46.80265778;rm;01.07.2008;1850;Surselva;21804;15.9;X
Ladir;7155;0;Ilanz/Glion;3619;GR;9.197730307;46.80032348;rm;01.07.2008;1850;Surselva;21804;15.9;X
Rueun;7156;0;Ilanz/Glion;3619;GR;9.147462731;46.78299898;rm;01.07.2008;1850;Surselva;21804;15.9;X
Pigniu;7156;1;Ilanz/Glion;3619;GR;9.119195491;46.83503095;rm;01.07.2008;1850;Surselva;21804;15.9;X
Siat;7157;0;Ilanz/Glion;3619;GR;9.153549161;46.79753933;rm;01.07.2008;1850;Surselva;21804;15.9;X
Fuerstenaubruck;7413;0;Fuerstenau;3633;GR;9.448990426;46.71504372;rm;01.07.2008;1851;Viamala;14402;22.9;X
Fuerstenau;7414;0;Fuerstenau;3633;GR;9.449046447;46.72267541;rm;01.07.2008;1851;Viamala;14402;22.9;X
Rothenbrunnen;7405;0;Rothenbrunnen;3637;GR;9.420694042;46.77564402;rm;01.07.2008;1851;Viamala;14402;22.9;X
Scharans;7412;0;Scharans;3638;GR;9.482204367;46.71520109;rm;01.07.2008;1851;Viamala;14402;22.9;X
Sils im Domleschg;7411;0;Sils im Domleschg;3640;GR;9.471725301;46.69051294;de;01.07.2008;1851;Viamala;14402;22.9;X
Rothenbrunnen;7405;0;Cazis;3661;GR;9.416696863;46.76727528;rm;01.07.2008;1851;Viamala;14402;22.9;X
Cazis;7408;0;Cazis;3661;GR;9.426736432;46.73706918;rm;01.07.2008;1851;Viamala;14402;22.9;X
Rodels;7415;0;Cazis;3661;GR;9.434627751;46.73504598;rm;01.07.2008;1851;Viamala;14402;22.9;X
Summaprada;7421;0;Cazis;3661;GR;9.434034481;46.71401872;de;01.07.2008;1851;Viamala;14402;22.9;X
Tartar;7422;0;Cazis;3661;GR;9.419546373;46.72097993;rm;01.07.2008;1851;Viamala;14402;22.9;X
Sarn;7423;0;Cazis;3661;GR;9.388328231;46.72514885;rm;01.07.2008;1851;Viamala;14402;22.9;X
Portein;7423;2;Cazis;3661;GR;9.388426422;46.71205006;rm;01.07.2008;1851;Viamala;14402;22.9;X
Praez;7424;0;Cazis;3661;GR;9.396171998;46.74775627;rm;01.07.2008;1851;Viamala;14402;22.9;X
Dalin;7424;1;Cazis;3661;GR;9.40540696;46.73490894;rm;01.07.2008;1851;Viamala;14402;22.9;X
Flerden;7426;0;Flerden;3662;GR;9.40041123;46.70222234;rm;01.07.2008;1851;Viamala;14402;22.9;X
Flerden;7426;0;Flerden;3662;GR;9.396771318;46.67057599;rm;01.07.2008;1851;Viamala;14402;22.9;X
Summaprada;7421;0;Masein;3663;GR;9.424318184;46.7102296;de;01.07.2008;1851;Viamala;14402;22.9;X
Masein;7425;0;Masein;3663;GR;9.422392038;46.69559861;de;01.07.2008;1851;Viamala;14402;22.9;X
Thusis;7430;0;Thusis;3668;GR;9.431579851;46.68531644;de;01.07.2008;1851;Viamala;14402;22.9;X
Mutten;7431;1;Thusis;3668;GR;9.499624348;46.67887641;de;01.07.2008;1851;Viamala;14402;22.9;X
Obermutten;7431;2;Thusis;3668;GR;9.486529273;46.66781528;de;01.07.2008;1851;Viamala;14402;22.9;X
Tschappina;7428;0;Tschappina;3669;GR;9.358095662;46.67772716;de;01.07.2008;1851;Viamala;14402;22.9;X
Urmein;7427;0;Urmein;3670;GR;9.397792812;46.6908997;de;01.07.2008;1851;Viamala;14402;22.9;X
Versam;7104;0;Safiental;3672;GR;9.334934134;46.78102576;de;01.07.2008;1850;Surselva;21804;15.9;X
Tenna;7106;0;Safiental;3672;GR;9.333721524;46.74733757;de;01.07.2008;1850;Surselva;21804;15.9;X
Safien Platz;7107;0;Safiental;3672;GR;9.326377229;46.71044389;de;01.07.2008;1850;Surselva;21804;15.9;X
Thalkirch;7109;0;Safiental;3672;GR;9.285793089;46.63701656;de;01.07.2008;1850;Surselva;21804;15.9;X
Valendas;7122;0;Safiental;3672;GR;9.293871425;46.77146917;de;01.07.2008;1850;Surselva;21804;15.9;X
Bonaduz;7402;0;Safiental;3672;GR;9.371754479;46.75928584;de;01.07.2008;1850;Surselva;21804;15.9;X
Feldis/Veulden;7404;0;Domleschg;3673;GR;9.43549927;46.79721024;multiple;01.07.2008;1851;Viamala;14402;22.9;X
Trans;7407;0;Domleschg;3673;GR;9.482340194;46.76197264;rm;01.07.2008;1851;Viamala;14402;22.9;X
Rodels;7415;0;Domleschg;3673;GR;9.440611742;46.7388893;rm;01.07.2008;1851;Viamala;14402;22.9;X
Pratval;7415;2;Domleschg;3673;GR;9.445582611;46.7320293;rm;01.07.2008;1851;Viamala;14402;22.9;X
Almens;7416;0;Domleschg;3673;GR;9.482366476;46.74259301;rm;01.07.2008;1851;Viamala;14402;22.9;X
Paspels;7417;0;Domleschg;3673;GR;9.457052769;46.75103145;rm;01.07.2008;1851;Viamala;14402;22.9;X
Tumegl/Tomils;7418;0;Domleschg;3673;GR;9.444565164;46.76408022;multiple;01.07.2008;1851;Viamala;14402;22.9;X
Scheid;7419;0;Domleschg;3673;GR;9.470485528;46.78395755;rm;01.07.2008;1851;Viamala;14402;22.9;X
Avers;7447;0;Avers;3681;GR;9.518788571;46.43411691;de;01.04.2022;1851;Viamala;14402;22.9;X
Juf;7448;0;Avers;3681;GR;9.589266156;46.42890988;de;01.07.2008;1851;Viamala;14402;22.9;X
Sufers;7434;0;Sufers;3695;GR;9.387472391;46.55092315;de;01.07.2008;1851;Viamala;14402;22.9;X
Andeer;7440;0;Andeer;3701;GR;9.414000001;46.57848964;rm;01.07.2008;1851;Viamala;14402;22.9;X
Clugin;7442;0;Andeer;3701;GR;9.415806929;46.61394953;rm;01.07.2008;1851;Viamala;14402;22.9;X
Pignia;7443;0;Andeer;3701;GR;9.468786686;46.60319169;rm;01.07.2008;1851;Viamala;14402;22.9;X
Rongellen;7430;2;Rongellen;3711;GR;9.439003512;46.67323544;rm;01.07.2008;1851;Viamala;14402;22.9;X
Zillis;7432;0;Zillis-Reischen;3712;GR;9.469227064;46.64449338;rm;01.07.2008;1851;Viamala;14402;22.9;X
Ausserferrera;7444;0;Ferrera;3713;GR;9.463332132;46.5532038;rm;01.07.2008;1851;Viamala;14402;22.9;X
Innerferrera;7445;0;Ferrera;3713;GR;9.453209348;46.48245065;rm;01.07.2008;1851;Viamala;14402;22.9;X
Innerferrera;7445;0;Ferrera;3713;GR;9.406454991;46.50039883;rm;01.07.2008;1851;Viamala;14402;22.9;X
Spluegen;7435;0;Rheinwald;3714;GR;9.326161913;46.53964905;de;01.07.2008;1851;Viamala;14402;22.9;X
Medels im Rheinwald;7436;0;Rheinwald;3714;GR;9.278577815;46.54661507;de;01.07.2008;1851;Viamala;14402;22.9;X
Nufenen;7437;0;Rheinwald;3714;GR;9.239336436;46.54656612;de;01.07.2008;1851;Viamala;14402;22.9;X
Hinterrhein;7438;0;Rheinwald;3714;GR;9.155449846;46.51500762;de;01.07.2008;1851;Viamala;14402;22.9;X
Donat;7433;0;Muntogna da Schons;3715;GR;9.422750976;46.63024404;rm;01.07.2008;1851;Viamala;14402;22.9;X
Lohn GR;7433;3;Muntogna da Schons;3715;GR;9.41946203;46.65526794;rm;01.07.2008;1851;Viamala;14402;22.9;X
Mathon;7433;4;Muntogna da Schons;3715;GR;9.382393925;46.64092845;rm;01.07.2008;1851;Viamala;14402;22.9;X
Wergenstein;7433;5;Muntogna da Schons;3715;GR;9.351268152;46.61559513;rm;01.07.2008;1851;Viamala;14402;22.9;X
Bonaduz;7402;0;Bonaduz;3721;GR;9.352879767;46.80269135;de;01.07.2008;1844;Imboden;21964;107.8;2.81
Domat/Ems;7013;0;Domat/Ems;3722;GR;9.451080803;46.81961461;multiple;01.07.2008;1844;Imboden;21964;107.8;2.81
Rhaezuens;7403;0;Rhaezuens;3723;GR;9.394958281;46.78592757;rm;01.07.2008;1844;Imboden;21964;107.8;2.81
Felsberg;7012;0;Felsberg;3731;GR;9.46220066;46.8601711;de;01.07.2008;1844;Imboden;21964;107.8;2.81
Flims Dorf;7017;0;Flims;3732;GR;9.26858571;46.85544233;rm;01.07.2008;1844;Imboden;21964;107.8;2.81
Flims Waldhaus;7018;0;Flims;3732;GR;9.285469949;46.82433526;rm;01.07.2008;1844;Imboden;21964;107.8;2.81
Fidaz;7019;0;Flims;3732;GR;9.317762233;46.84466177;rm;01.07.2008;1844;Imboden;21964;107.8;2.81
Tamins;7015;0;Tamins;3733;GR;9.409077842;46.84324976;de;01.07.2008;1844;Imboden;21964;107.8;2.81
Vaettis;7315;0;Tamins;3733;GR;9.404345432;46.87485694;de;01.07.2008;1844;Imboden;21964;107.8;2.81
Trin;7014;0;Trin;3734;GR;9.321591691;46.8779203;rm;01.07.2008;1844;Imboden;21964;107.8;2.81
Tamins;7015;0;Trin;3734;GR;9.382544169;46.82902917;de;01.07.2008;1844;Imboden;21964;107.8;2.81
Trin Mulin;7016;0;Trin;3734;GR;9.33444838;46.82198996;rm;01.07.2008;1844;Imboden;21964;107.8;2.81
Brail;7527;0;Zernez;3746;GR;10.01293801;46.68121133;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Zernez;7530;0;Zernez;3746;GR;10.14047269;46.66348153;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Susch;7542;0;Zernez;3746;GR;10.03113213;46.7497412;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Lavin;7543;0;Zernez;3746;GR;10.10632038;46.78896496;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Samnaun-Compatsch;7562;0;Samnaun;3752;GR;10.40531028;46.96456665;de;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Samnaun Dorf;7563;0;Samnaun;3752;GR;10.35942893;46.9471738;de;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Guarda;7545;0;Scuol;3762;GR;10.1407684;46.8200836;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Ardez;7546;0;Scuol;3762;GR;10.18563322;46.77488471;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Scuol;7550;0;Scuol;3762;GR;10.32779888;46.73243747;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Ftan;7551;0;Scuol;3762;GR;10.22667842;46.82379697;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Vulpera;7552;0;Scuol;3762;GR;10.28620487;46.7872429;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Tarasp;7553;0;Scuol;3762;GR;10.24637455;46.73487615;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Sent;7554;0;Scuol;3762;GR;10.32827869;46.83151737;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Vnà;7557;0;Scuol;3762;GR;10.33058322;46.87236775;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Ramosch;7556;0;Valsot;3764;GR;10.41252693;46.83390248;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Ramosch;7556;0;Valsot;3764;GR;10.2445604;46.9012157;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Vnà;7557;0;Valsot;3764;GR;10.33842785;46.88122719;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Strada;7558;0;Valsot;3764;GR;10.43894562;46.85579718;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Tschlin;7559;0;Valsot;3764;GR;10.41179939;46.88483229;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Martina;7560;0;Valsot;3764;GR;10.42798084;46.91217884;rm;01.07.2008;1843;Engiadina B./Val Muestair;9139;7.6;X
Bever;7502;0;Bever;3781;GR;9.732821049;46.53108217;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Bever;7502;0;Bever;3781;GR;9.866116228;46.55363299;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
St. Moritz;7500;0;Celerina/Schlarigna;3782;GR;9.865364472;46.49613905;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Pontresina;7504;0;Celerina/Schlarigna;3782;GR;9.895010664;46.49222768;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Celerina/Schlarigna;7505;0;Celerina/Schlarigna;3782;GR;9.86908188;46.50231786;multiple;01.07.2008;1846;Maloja;18162;18.7;0.88
Madulain;7523;0;Madulain;3783;GR;9.932625483;46.58801289;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Madulain;7523;0;Madulain;3783;GR;10.00412113;46.49790068;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Pontresina;7504;0;Pontresina;3784;GR;9.934629283;46.43553144;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
La Punt Chamues-ch;7522;0;La Punt Chamues-ch;3785;GR;9.959870111;46.53871727;rm;01.10.2020;1846;Maloja;18162;18.7;0.88
Samedan;7503;0;Samedan;3786;GR;9.846145912;46.53513194;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Pontresina;7504;0;Samedan;3786;GR;9.862566117;46.41704724;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Silvaplana-Surlej;7513;2;Samedan;3786;GR;9.821298846;46.41792632;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
St. Moritz;7500;0;St. Moritz;3787;GR;9.833533723;46.48553383;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
Champfer;7512;0;St. Moritz;3787;GR;9.813897465;46.47965657;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
S-chanf;7525;0;S-chanf;3788;GR;10.02108721;46.59476475;rm;01.07.2008;1846;Maloja;18162;18.7;0.88
